ACCOUNTID;MULTIPLAY;CONTRACT_LENGTH;3G-V;3G-D ;INTERNET;IPTV-U;IPTV-P;WL-V;CONCURENTI;INCIDENTE;STATUT_CONTRACT;SOLICITARI_REZILIERE;PRET_ABON;QUALITY_PERCEPTION;COST_PERCEPTION;IPTV_STB_QUANTITY;QNT_APELARI;QNT_PORT_REZ;AVG_PERCEPTION;QNT_INCEDENT;LUNI_DATOR;SUMA_ACHITARII;CNT_SERVICII;IS_CHURN;CHURN_DATE
1711570;['IPTV-P', 'INTERNET', 'WL-V'];24.0;0;0;1;0;1;1;0;1;1;1;190.0;0.1935483870967742;1;0.0;0.0;2.0;0.0;2.0;0.0;0.9032258064516129;3.0;0;
1712158;['3G-V', 'INTERNET', 'WL-V', 'IPTV-U'];342.0;1;0;1;1;0;1;0;0;3;0;195.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0;
1712231;['3G-V', 'INTERNET', 'WL-V'];338.0;1;0;1;0;0;1;0;1;3;0;160.0;0.16129032258064516;1;0.0;0.0;0.0;0.0;2.0;0.0;0.9032258064516129;3.0;0;
1712322;[];345.0;0;0;0;0;0;0;0;2;3;0;195.0;0.7857142857142857;1;0.0;0.0;0.0;0.0;4.0;0.0;0.9642857142857143;1.0;1;31.10.2022
1712413;['3G-V', 'INTERNET'];24.0;1;0;1;0;0;0;0;0;0;0;112.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.8709677419354839;2.0;0;
1712560;['IPTV-P', 'INTERNET', 'WL-V'];24.0;0;0;1;0;1;1;0;1;0;0;220.0;0.22580645161290322;1;0.9032258064516129;2.0;0.0;0.0;2.0;0.0;1.0;3.0;0;
1712624;[];24.0;0;0;0;0;0;0;0;0;0;0;170.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1;31.05.2021
1712896;[];24.0;0;0;0;0;0;0;0;0;0;0;245.0;0.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.7083333333333334;1.0;1;30.06.2022
1713045;['WL-V', 'INTERNET', 'IPTV-U'];24.0;0;0;1;1;0;1;1;1;3;1;215.0;0.5806451612903226;1;0.0;0.0;1.0;0.0;1.0;0.0;1.0;3.0;0;
1713178;['IPTV-P', 'INTERNET'];339.0;0;0;1;0;1;0;0;0;3;1;230.0;0.0;1;1.0;1.0;1.0;0.0;0.0;0.0;0.8064516129032258;2.0;0;
1713479;['INTERNET', 'IPTV-U'];24.0;0;0;1;1;0;0;0;1;0;0;220.0;0.3870967741935484;1;0.9354838709677419;1.0;0.0;0.06451612903225806;2.0;0.0;1.0;2.0;0;
1713734;['IPTV-P', 'INTERNET', 'WL-V'];24.0;0;0;1;0;1;1;0;1;0;0;160.0;0.2903225806451613;1;0.0;0.0;0.0;0.0;1.0;0.0;0.7096774193548387;3.0;0;
